key,en,fr,es
greeting,Hello!,Bonjour!,¡Hola!
farewell,Goodbye!,Au revoir!,¡Adiós!
welcome,Welcome to our application ,Bienvenue dans notre application ,Bienvenido a nuestra aplicación
logout,Logout,Déconnexion,Cerrar sesión
login,Login,Connexion,Iniciar sesión
signup,Signup,Inscription,Regístrate
username,Username,Nom d'utilisateur,Nombre de usuario
email,Email,Email,Correo electrónico
password,Password,Mot de passe,Contraseña
confirmPassword,Confirm password,Confirmez le mot de passe,Confirmar contraseña
bothFieldsRequired,Both fields are required!,Les deux champs sont requis!,¡Ambos campos son obligatorios!
dashboard,Dashboard,Tableau de bord,Tablero
yourUserIdIs,Your user chatRoomId is:,Votre identifiant d'utilisateur est:,Tu identificación de usuario es:
chatRoom,Chat room,Salle de chat,Sala de chat
newMessage,New message,Nouveau message,Nuevo mensaje
sendMessage,Send message,Envoyer le message,Enviar mensaje
chatList,Chat list,Liste de chat,Lista de chat
contactRequest,Contact request,Demande de contact,Solicitud de contacto
createGroupConversation,Create group conversation,Créer une conversation de groupe,Crear conversación grupal
sendContactRequest,Send contact request,Envoyer une demande de contact,Enviar solicitud de contacto
additionalEmails,Emails,Emails,Correos electrónicos
create,Create,Créer,Crear
enterCommaSeparatedEmails,Enter comma separated additionalEmails,Entrez des e-mails séparés par des virgules,Ingrese correos electrónicos separados por comas
enterEmail,Enter email,Entrez l'email,Ingrese correo electrónico
sending,Sending...,Envoi...,Enviando...
send,Send,Envoyer,Enviar
contacts,Contact List,Liste de contacts,Lista de contactos
messages, Messages List,Liste de messages,Lista de mensajes
usernameChanged, Username changed,Nom d'utilisateur change,Nombre de usuario ha cambiado
